name,zone,layer,list,args,has_args
GeneralPos,MechanicKoopaZone,LayerA,GeneralPosInfo,,0
GeneralPos,OceanPhantomCaveGalaxy,Common,GeneralPosInfo,,0
GeneralPos,OceanRingGalaxy,Common,GeneralPosInfo,,0
GeneralPos,OceanRingGalaxy,LayerH,GeneralPosInfo,,0
GeneralPos,OceanRingZone,LayerB,GeneralPosInfo,,0
GeneralPos,OceanRingZone,LayerM,GeneralPosInfo,,0
GeneralPos,PeachCastleFinalGalaxy,LayerA,GeneralPosInfo,,0
GeneralPos,PeachCastleGardenGalaxy,LayerA,GeneralPosInfo,,0
GeneralPos,PhantomGalaxy,LayerA,GeneralPosInfo,,0
GeneralPos,PhantomGalaxy,LayerB,GeneralPosInfo,,0
GeneralPos,PhantomGalaxy,LayerC,GeneralPosInfo,,0
GeneralPos,PhantomGalaxy,LayerI,GeneralPosInfo,,0
GeneralPos,PhantomNestZone,Common,GeneralPosInfo,,0
GeneralPos,ReverseForestHomeZone,Common,GeneralPosInfo,,0
GeneralPos,ReverseForestHomeZone,LayerF,GeneralPosInfo,,0
GeneralPos,ReverseKingdomGalaxy,Common,GeneralPosInfo,,0
GeneralPos,SandTowerZone,LayerA,GeneralPosInfo,,0
GeneralPos,SkullSharkGalaxy,Common,GeneralPosInfo,,0
GeneralPos,SnowCapsuleZone,Common,GeneralPosInfo,,0
GeneralPos,StarDustAssemblyBlockZone,LayerB,GeneralPosInfo,,0
GeneralPos,StarDustAssemblyBlockZone,LayerC,GeneralPosInfo,,0
GeneralPos,StarDustGalaxy,Common,GeneralPosInfo,,0
GeneralPos,SurfingLV1Zone,Common,GeneralPosInfo,,0
GeneralPos,SurfingLv2Galaxy,Common,GeneralPosInfo,,0
GeneralPos,TamakoroExAZone,Common,GeneralPosInfo,,0
GeneralPos,TeresaMario2DGalaxy,Common,GeneralPosInfo,,0
GeneralPos,TeresaRaceZone,Common,GeneralPosInfo,,0
GeneralPos,ThrowTutorialZone,LayerA,GeneralPosInfo,,0
GeneralPos,TransformationExGalaxy,Common,GeneralPosInfo,,0
Mario,SubmarineVolcanoPlanetZone,Common,GeneralPosInfo,,0
